rank,file,score,score_pct,max_score,hill_score,hill_pct,gradual_score,gradual_pct,wins,losses,ties,total_rounds,win_pct,tie_pct,loss_pct,avg_win_cycles,avg_loss_cycles,avg_tsp,avg_mc,n_opponents
255,kinch.red,5933.00,25.99,22824.00,5933.00,25.99,6197.93,20.89,191,2057,5360,7608,2.51,70.45,27.04,7507.3,10613.2,1195.18,158.94,317
256,notquiteimp.red,5906.00,25.88,22824.00,5906.00,25.88,6230.18,21.00,291,2284,5033,7608,3.82,66.15,30.02,2313.9,6116.7,933.21,5785.37,317
257,hopper2.red,5878.00,25.75,22824.00,5878.00,25.75,6585.09,22.19,691,3112,3805,7608,9.08,50.01,40.90,6190.9,8567.6,1314.62,3184.41,317
258,banzai.red,5844.00,25.60,22824.00,5844.00,25.60,6052.02,20.40,132,2028,5448,7608,1.74,71.61,26.66,19952.6,11721.1,1695.44,240.39,317
259,smallvampire.red,5794.00,25.39,22824.00,5794.00,25.39,6060.62,20.43,165,2144,5299,7608,2.17,69.65,28.18,23278.2,15049.9,5199.46,319.85,317
260,vampyre.red,5773.00,25.29,22824.00,5773.00,25.29,6153.57,20.74,310,2455,4843,7608,4.07,63.66,32.27,3017.9,9131.8,1992.28,1302.39,317
261,tiny.red,5757.00,25.22,22824.00,5757.00,25.22,5953.07,20.06,85,2021,5502,7608,1.12,72.32,26.56,17002.4,13442.0,2774.13,138.96,317
262,retirante.red,5752.00,25.20,22824.00,5752.00,25.20,6655.16,22.43,921,3698,2989,7608,12.11,39.29,48.61,3795.0,6142.9,1107.97,2417.36,317
263,gnat2a.red,5741.00,25.15,22824.00,5741.00,25.15,6110.91,20.60,210,2287,5111,7608,2.76,67.18,30.06,11942.5,18287.7,908.41,147.92,317
264,validate.red,5658.00,24.79,22824.00,5658.00,24.79,6412.98,21.61,586,3122,3900,7608,7.70,51.26,41.04,6307.2,17243.0,1094.82,545.05,317
265,annoying.red,5609.00,24.58,22824.00,5609.00,24.58,6270.39,21.13,479,2957,4172,7608,6.30,54.84,38.87,7742.0,18397.4,1847.85,207.69,317
